IdVenta,Fecha,Fecha_Entrega,IdCanal,IdCliente,IdEmpleado,IdProducto,Cantidad,Precio
1,2018-03-09 00:00:00,2018-03-17 00:00:00,3,969,13001674,42817,2,813.12
2,2018-12-28 00:00:00,2018-12-29 00:00:00,2,884,13001674,42795,3,543.18
3,2016-03-28 00:00:00,2016-03-31 00:00:00,2,1722,13001674,42837,1,430.32
4,2017-10-23 00:00:00,2017-10-24 00:00:00,3,2876,13001674,42834,2,818.84
5,2017-11-22 00:00:00,2017-11-25 00:00:00,2,678,13001674,42825,3,554.18
6,2018-01-24 00:00:00,2018-01-25 00:00:00,2,3263,13001674,42852,1,152
7,2015-03-25 00:00:00,2015-03-26 00:00:00,3,2983,13001674,42939,1,2915
8,2017-07-10 00:00:00,2017-07-18 00:00:00,2,201,13001674,42940,2,2162
9,2018-04-03 00:00:00,2018-04-06 00:00:00,2,1006,13001674,42905,3,456
10,2019-03-16 00:00:00,2019-03-17 00:00:00,1,1003,13001674,42894,2,515
11,2015-01-19 00:00:00,2015-01-27 00:00:00,3,430,13001674,42998,3,529
12,2015-02-17 00:00:00,2015-02-18 00:00:00,1,2866,13001674,42969,2,3839
13,2016-03-30 00:00:00,2016-04-02 00:00:00,3,1856,13001674,42960,1,4125
14,2017-05-16 00:00:00,2017-05-24 00:00:00,2,460,13001674,42987,2,456
15,2017-06-03 00:00:00,2017-06-11 00:00:00,2,519,13001674,43010,2,387
16,2017-06-06 00:00:00,2017-06-09 00:00:00,2,587,13001674,43015,2,483
17,2019-02-07 00:00:00,2019-02-08 00:00:00,2,1590,13001674,42976,1,216
18,2019-02-14 00:00:00,2019-02-22 00:00:00,2,3029,13001674,43010,3,387
19,2019-09-21 00:00:00,2019-09-22 00:00:00,3,2854,13001674,42958,2,3763
21,2015-11-30 00:00:00,2015-12-03 00:00:00,3,353,13001674,42797,2,4845.5
22,2017-06-21 00:00:00,2017-06-27 00:00:00,3,385,13001674,42789,1,218.02
23,2018-04-04 00:00:00,2018-04-12 00:00:00,2,381,13001674,42766,2,7011.62
24,2019-03-08 00:00:00,2019-03-16 00:00:00,2,1286,13001674,42787,2,1366.42
25,2019-06-04 00:00:00,2019-06-07 00:00:00,2,1117,13001674,42763,1,2118.38
26,2019-11-12 00:00:00,2019-11-21 00:00:00,2,273,13001674,42754,3,1237.5
27,2016-05-27 00:00:00,2016-06-05 00:00:00,3,2716,13001674,42876,1,560
28,2016-07-14 00:00:00,2016-07-17 00:00:00,3,926,13001674,42830,2,486.42
29,2017-05-02 00:00:00,2017-05-11 00:00:00,2,430,13001674,42879,1,560
30,2019-05-07 00:00:00,2019-05-16 00:00:00,1,2939,13001674,42861,1,542
31,2019-08-19 00:00:00,2019-08-22 00:00:00,3,1270,13001674,42859,1,610
32,2015-07-07 00:00:00,2015-07-13 00:00:00,3,1064,13001674,42945,2,3210
33,2016-08-05 00:00:00,2016-08-11 00:00:00,3,2630,13001674,42906,2,321
34,2018-08-16 00:00:00,2018-08-24 00:00:00,2,645,13001674,42893,3,515
35,2015-12-29 00:00:00,2016-01-06 00:00:00,1,895,13001674,43016,3,454
36,2016-01-28 00:00:00,2016-01-31 00:00:00,1,572,13001674,42970,2,3001
37,2017-06-05 00:00:00,2017-06-11 00:00:00,3,649,13001674,42975,2,215
38,2016-09-03 00:00:00,2016-09-09 00:00:00,1,364,13001674,43033,2,1182
39,2016-12-24 00:00:00,2017-01-02 00:00:00,3,879,13001674,43022,2,422
40,2017-03-28 00:00:00,2017-04-06 00:00:00,3,1117,13001674,43026,2,530
41,2018-12-25 00:00:00,2018-12-31 00:00:00,1,3156,13001674,43017,1,358
42,2015-01-08 00:00:00,2015-01-16 00:00:00,1,3013,13001674,42758,3,1819.18
43,2015-03-16 00:00:00,2015-03-18 00:00:00,3,1388,13001674,42785,2,1597.42
44,2015-06-09 00:00:00,2015-06-14 00:00:00,1,1088,13001674,42800,2,1642.74
45,2015-10-05 00:00:00,2015-10-10 00:00:00,1,1654,13001674,42796,3,457.82
46,2015-10-16 00:00:00,2015-10-23 00:00:00,2,393,13001674,42764,1,1385.78
47,2015-10-15 00:00:00,2015-10-22 00:00:00,3,3360,13001674,42814,2,369.82
48,2015-12-18 00:00:00,2015-12-21 00:00:00,1,1746,13001674,42765,1,1938.42
49,2015-12-31 00:00:00,2016-01-04 00:00:00,2,1133,13001674,42737,2,1658
50,2016-01-11 00:00:00,2016-01-14 00:00:00,1,2896,13001674,42776,1,1423.4
52,2016-07-27 00:00:00,2016-08-01 00:00:00,3,2711,13001674,42799,2,1536.04
53,2016-08-12 00:00:00,2016-08-16 00:00:00,1,1719,13001674,42774,2,6048.9
54,2016-08-13 00:00:00,2016-08-20 00:00:00,3,782,13001674,42760,2,1637.24
55,2016-09-13 00:00:00,2016-09-18 00:00:00,1,3250,13001674,42763,2,2118.38
56,2016-10-11 00:00:00,2016-10-16 00:00:00,1,2932,13001674,42764,2,1385.78
57,2016-11-08 00:00:00,2016-11-13 00:00:00,2,46,13001674,42816,3,1254.88
58,2016-12-29 00:00:00,2017-01-01 00:00:00,1,78,13001674,42815,2,599.5
59,2017-02-17 00:00:00,2017-02-21 00:00:00,1,2858,13001674,42793,2,871.86
60,2017-04-18 00:00:00,2017-04-28 00:00:00,1,3156,13001674,42810,1,1282.82
61,2017-05-26 00:00:00,2017-05-31 00:00:00,2,480,13001674,42795,2,543.18
62,2017-09-12 00:00:00,2017-09-13 00:00:00,1,484,13001674,42795,2,543.18
63,2017-09-20 00:00:00,2017-09-28 00:00:00,2,776,13001674,42787,3,1366.42
64,2017-10-07 00:00:00,2017-10-12 00:00:00,1,1103,13001674,42782,1,3373.92
65,2017-11-13 00:00:00,2017-11-14 00:00:00,1,639,13001674,42737,2,1658
66,2017-12-22 00:00:00,2017-12-27 00:00:00,2,1293,13001674,42783,2,2452.34
67,2018-02-09 00:00:00,2018-02-10 00:00:00,1,893,13001674,42772,2,6569.86
68,2018-03-27 00:00:00,2018-03-31 00:00:00,3,1814,13001674,42762,2,2106.06
69,2018-05-19 00:00:00,2018-05-29 00:00:00,2,944,13001674,42789,1,218.02
70,2018-05-23 00:00:00,2018-05-28 00:00:00,2,1559,13001674,42787,3,1366.42
71,2018-08-04 00:00:00,2018-08-08 00:00:00,2,771,13001674,42800,3,1642.74
72,2018-08-22 00:00:00,2018-09-01 00:00:00,1,1185,13001674,42779,1,9555.04
73,2018-10-01 00:00:00,2018-10-05 00:00:00,3,932,13001674,42796,1,457.82
74,2018-11-02 00:00:00,2018-11-10 00:00:00,1,879,13001674,42790,1,762.96
75,2019-01-22 00:00:00,2019-01-26 00:00:00,2,3357,13001674,42789,1,218.02
76,2019-07-15 00:00:00,2019-07-17 00:00:00,3,292,13001674,42818,2,1907.62
77,2019-09-10 00:00:00,2019-09-13 00:00:00,1,596,13001674,42777,3,2557.5
78,2019-11-14 00:00:00,2019-11-22 00:00:00,2,1854,13001674,42788,2,421.96
79,2019-12-13 00:00:00,2019-12-16 00:00:00,1,1865,13001674,42777,3,2557.5
80,2019-12-19 00:00:00,2019-12-26 00:00:00,2,1788,13001674,42799,2,1536.04
81,2020-01-27 00:00:00,2020-01-28 00:00:00,2,109,13001674,42760,3,1637.24
82,2020-04-10 00:00:00,2020-04-11 00:00:00,3,333,13001674,42791,2,258.28
83,2020-05-27 00:00:00,2020-06-04 00:00:00,2,721,13001674,42764,1,1385.78
85,2015-02-13 00:00:00,2015-02-14 00:00:00,3,582,13001674,42846,2,2846.58
86,2015-03-17 00:00:00,2015-03-20 00:00:00,3,3159,13001674,42839,2,353.32
87,2015-09-10 00:00:00,2015-09-17 00:00:00,3,237,13001674,42825,3,554.18
88,2015-09-16 00:00:00,2015-09-21 00:00:00,3,1691,13001674,42831,1,369.6
89,2015-10-22 00:00:00,2015-10-27 00:00:00,1,135,13001674,42840,2,353.32
90,2015-11-06 00:00:00,2015-11-14 00:00:00,3,568,13001674,42848,2,1588
91,2016-01-20 00:00:00,2016-01-27 00:00:00,1,160,13001674,42849,3,1542
92,2016-02-11 00:00:00,2016-02-16 00:00:00,2,1818,13001674,42833,2,819.06
93,2016-09-26 00:00:00,2016-10-03 00:00:00,3,484,13001674,42845,2,823.24
94,2016-12-09 00:00:00,2016-12-19 00:00:00,3,2664,13001674,42841,3,353.32
95,2016-12-12 00:00:00,2016-12-16 00:00:00,3,530,13001674,42865,1,199
96,2016-12-28 00:00:00,2017-01-02 00:00:00,1,3,13001674,42836,3,823.24
97,2017-01-10 00:00:00,2017-01-11 00:00:00,1,2984,13001674,42841,1,353.32
98,2017-01-17 00:00:00,2017-01-21 00:00:00,1,1859,13001674,42871,1,560
99,2017-02-25 00:00:00,2017-03-02 00:00:00,1,17,13001674,42858,2,505
100,2017-06-15 00:00:00,2017-06-25 00:00:00,2,3365,13001674,42844,1,1810.38
102,2017-07-11 00:00:00,2017-07-14 00:00:00,1,1111,13001674,42858,2,505
103,2017-07-25 00:00:00,2017-07-28 00:00:00,1,610,13001674,42869,2,199
104,2017-07-27 00:00:00,2017-08-01 00:00:00,2,708,13001674,42824,1,584.76
105,2017-10-28 00:00:00,2017-11-02 00:00:00,3,1107,13001674,42822,1,816.86
106,2017-11-20 00:00:00,2017-11-22 00:00:00,2,1301,13001674,42870,10,178
107,2018-01-05 00:00:00,2018-01-13 00:00:00,2,3401,13001674,42830,2,486.42
108,2018-01-08 00:00:00,2018-01-09 00:00:00,1,741,13001674,42862,3,512
109,2018-02-05 00:00:00,2018-02-08 00:00:00,2,4,13001674,42861,1,542
110,2018-03-05 00:00:00,2018-03-10 00:00:00,3,1049,13001674,42846,3,2846.58
111,2018-04-19 00:00:00,2018-04-22 00:00:00,3,1839,13001674,42870,2,178
112,2018-05-04 00:00:00,2018-05-09 00:00:00,3,1204,13001674,42858,3,505
113,2018-08-03 00:00:00,2018-08-08 00:00:00,2,191,13001674,42878,2,560
114,2018-10-08 00:00:00,2018-10-13 00:00:00,3,1868,13001674,42820,3,652.74
115,2018-11-27 00:00:00,2018-11-29 00:00:00,2,631,13001674,42834,2,818.84
116,2019-01-01 00:00:00,2019-01-02 00:00:00,2,1693,13001674,42825,1,554.18
117,2019-01-17 00:00:00,2019-01-24 00:00:00,2,432,13001674,42822,1,816.86
118,2019-02-07 00:00:00,2019-02-08 00:00:00,1,1789,13001674,42855,3,1130
119,2019-03-06 00:00:00,2019-03-07 00:00:00,3,1651,13001674,42873,2,560
120,2019-04-04 00:00:00,2019-04-09 00:00:00,2,2579,13001674,42858,3,505
121,2019-04-19 00:00:00,2019-04-23 00:00:00,3,1632,13001674,42859,2,610
122,2019-07-08 00:00:00,2019-07-09 00:00:00,1,2735,13001674,42883,2,498
123,2019-07-10 00:00:00,2019-07-17 00:00:00,2,535,13001674,42839,1,353.32
124,2019-10-18 00:00:00,2019-10-19 00:00:00,2,2798,13001674,42855,2,1130
125,2019-11-01 00:00:00,2019-11-03 00:00:00,1,1532,13001674,42833,2,819.06
126,2020-02-24 00:00:00,2020-03-03 00:00:00,2,427,13001674,42855,1,1130
127,2020-03-18 00:00:00,2020-03-21 00:00:00,1,1066,13001674,42827,3,512.38
128,2020-04-04 00:00:00,2020-04-06 00:00:00,2,966,13001674,42869,1,199
129,2020-04-20 00:00:00,2020-04-25 00:00:00,3,451,13001674,42870,1,178
130,2015-01-13 00:00:00,2015-01-23 00:00:00,1,219,13001674,42914,2,1489
131,2015-01-16 00:00:00,2015-01-21 00:00:00,3,880,13001674,42885,2,498
132,2015-03-11 00:00:00,2015-03-13 00:00:00,3,2837,13001674,42949,1,201500
133,2015-06-27 00:00:00,2015-07-04 00:00:00,3,2780,13001674,42903,2,269
134,2015-10-03 00:00:00,2015-10-13 00:00:00,3,950,13001674,42947,2,2974
135,2015-12-19 00:00:00,2015-12-23 00:00:00,3,2719,13001674,42913,1,1357
136,2016-03-01 00:00:00,2016-03-06 00:00:00,1,1824,13001674,42929,3,321
137,2016-04-26 00:00:00,2016-05-01 00:00:00,3,1826,13001674,42934,2,1789
138,2016-07-08 00:00:00,2016-07-12 00:00:00,2,1617,13001674,42923,2,753
139,2016-08-16 00:00:00,2016-08-24 00:00:00,2,1278,13001674,42902,3,258
140,2016-08-22 00:00:00,2016-08-27 00:00:00,3,2969,13001674,42905,1,456
141,2016-11-04 00:00:00,2016-11-07 00:00:00,1,3121,13001674,42907,2,456
142,2016-11-23 00:00:00,2016-12-01 00:00:00,1,3172,13001674,42948,2,2786
143,2017-02-01 00:00:00,2017-02-09 00:00:00,2,1719,13001674,42940,2,2162
144,2017-02-07 00:00:00,2017-02-12 00:00:00,2,351,13001674,42941,2,2971
145,2017-04-11 00:00:00,2017-04-16 00:00:00,1,383,13001674,42896,2,515
146,2017-07-20 00:00:00,2017-07-24 00:00:00,3,3350,13001674,42916,1,1356
147,2017-07-26 00:00:00,2017-07-29 00:00:00,2,566,13001674,42939,3,2915
148,2017-09-14 00:00:00,2017-09-18 00:00:00,3,8,13001674,42930,3,156
149,2017-10-20 00:00:00,2017-10-21 00:00:00,3,495,13001674,42931,1,324
150,2017-12-02 00:00:00,2017-12-07 00:00:00,2,2700,13001674,42931,1,324
151,2018-01-17 00:00:00,2018-01-22 00:00:00,1,1146,13001674,42930,2,156
152,2018-09-11 00:00:00,2018-09-16 00:00:00,2,1637,13001674,42888,1,498
153,2019-01-09 00:00:00,2019-01-12 00:00:00,3,3090,13001674,42905,2,456
154,2019-01-17 00:00:00,2019-01-21 00:00:00,3,1416,13001674,42927,1,91
156,2019-03-19 00:00:00,2019-03-29 00:00:00,2,1638,13001674,42912,3,1654
157,2019-04-13 00:00:00,2019-04-18 00:00:00,1,787,13001674,42893,1,515
158,2019-06-04 00:00:00,2019-06-08 00:00:00,2,1475,13001674,42939,2,2915
159,2019-06-17 00:00:00,2019-06-21 00:00:00,3,1731,13001674,42891,2,515
161,2019-07-12 00:00:00,2019-07-16 00:00:00,3,1580,13001674,42886,3,498
162,2019-09-23 00:00:00,2019-09-24 00:00:00,2,2906,13001674,42909,2,1500
163,2019-10-08 00:00:00,2019-10-12 00:00:00,2,2652,13001674,42930,2,156
164,2020-02-01 00:00:00,2020-02-06 00:00:00,2,1616,13001674,42923,2,753
166,2020-05-02 00:00:00,2020-05-09 00:00:00,2,1641,13001674,42916,3,1356
167,2015-01-27 00:00:00,2015-02-03 00:00:00,2,2763,13001674,43013,2,354
168,2015-02-19 00:00:00,2015-02-24 00:00:00,3,662,13001674,42973,2,123
169,2015-05-28 00:00:00,2015-06-02 00:00:00,1,994,13001674,43006,2,519
170,2015-05-29 00:00:00,2015-06-03 00:00:00,1,1250,13001674,42955,3,2366
171,2015-08-08 00:00:00,2015-08-09 00:00:00,2,1077,13001674,42960,2,4125
172,2015-08-21 00:00:00,2015-08-22 00:00:00,3,1120,13001674,43013,3,354
173,2015-10-21 00:00:00,2015-10-26 00:00:00,1,1434,13001674,43006,2,519
174,2015-11-13 00:00:00,2015-11-17 00:00:00,3,2734,13001674,42968,2,3445
176,2016-03-05 00:00:00,2016-03-10 00:00:00,2,2667,13001674,43008,2,389
178,2016-04-29 00:00:00,2016-05-04 00:00:00,1,820,13001674,42955,3,2366
179,2016-04-30 00:00:00,2016-05-05 00:00:00,1,2866,13001674,43013,2,354
180,2016-05-19 00:00:00,2016-05-22 00:00:00,3,2815,13001674,43006,2,519
181,2016-11-03 00:00:00,2016-11-08 00:00:00,3,102,13001674,42964,3,2824
182,2016-11-09 00:00:00,2016-11-14 00:00:00,2,1370,13001674,42995,2,364
183,2016-11-28 00:00:00,2016-12-03 00:00:00,1,1426,13001674,43016,1,454
184,2017-04-03 00:00:00,2017-04-08 00:00:00,3,1864,13001674,42969,2,3839
185,2017-05-26 00:00:00,2017-06-03 00:00:00,2,2966,13001674,42990,1,353
186,2017-07-13 00:00:00,2017-07-16 00:00:00,1,1464,13001674,42994,2,579
187,2017-08-02 00:00:00,2017-08-03 00:00:00,1,1665,13001674,42986,1,354
188,2017-08-18 00:00:00,2017-08-23 00:00:00,2,2805,13001674,43004,2,373
189,2017-08-26 00:00:00,2017-08-27 00:00:00,3,779,13001674,42977,1,111
190,2017-10-03 00:00:00,2017-10-04 00:00:00,2,908,13001674,42977,1,111
191,2017-11-03 00:00:00,2017-11-06 00:00:00,3,1815,13001674,42970,1,3001
192,2018-02-13 00:00:00,2018-02-17 00:00:00,1,971,13001674,42964,1,2824
193,2018-03-07 00:00:00,2018-03-12 00:00:00,1,1521,13001674,42953,2,3620
194,2018-07-25 00:00:00,2018-07-28 00:00:00,3,1054,13001674,42998,3,529
195,2018-09-27 00:00:00,2018-10-04 00:00:00,3,1149,13001674,42976,1,216
196,2018-10-15 00:00:00,2018-10-19 00:00:00,3,1724,13001674,43003,2,442
197,2018-10-19 00:00:00,2018-10-29 00:00:00,3,1870,13001674,43006,2,519
198,2018-11-30 00:00:00,2018-12-05 00:00:00,3,2922,13001674,42956,2,2093
199,2019-05-17 00:00:00,2019-05-22 00:00:00,3,649,13001674,43001,2,625
200,2019-07-10 00:00:00,2019-07-15 00:00:00,1,564,13001674,43012,3,510
201,2019-07-19 00:00:00,2019-07-24 00:00:00,2,713,13001674,42964,3,2824
202,2019-09-24 00:00:00,2019-09-29 00:00:00,2,2532,13001674,43009,3,563
203,2019-11-27 00:00:00,2019-11-29 00:00:00,1,1397,13001674,42987,2,456
204,2019-12-04 00:00:00,2019-12-05 00:00:00,3,733,13001674,42984,2,258
205,2019-12-14 00:00:00,2019-12-19 00:00:00,2,2835,13001674,43011,3,387
206,2020-01-11 00:00:00,2020-01-15 00:00:00,2,508,13001674,42972,2,2741
207,2020-02-03 00:00:00,2020-02-08 00:00:00,2,3053,13001674,42963,1,2355
208,2020-02-06 00:00:00,2020-02-11 00:00:00,2,1095,13001674,42990,1,353
209,2020-02-25 00:00:00,2020-02-27 00:00:00,2,1,13001674,42977,3,111
210,2020-02-24 00:00:00,2020-02-28 00:00:00,2,416,13001674,43013,2,354
211,2016-03-03 00:00:00,2016-03-06 00:00:00,1,1616,13001674,43035,3,1159
212,2016-05-18 00:00:00,2016-05-23 00:00:00,1,1505,13001674,43021,2,435
213,2016-08-27 00:00:00,2016-09-01 00:00:00,3,346,13001674,43031,2,1191
214,2017-06-17 00:00:00,2017-06-18 00:00:00,2,731,13001674,43036,2,744
215,2018-06-08 00:00:00,2018-06-18 00:00:00,1,1648,13001674,43024,1,508
216,2018-07-14 00:00:00,2018-07-18 00:00:00,3,1684,13001674,43020,2,562
217,2018-12-31 00:00:00,2019-01-03 00:00:00,1,1607,13001674,43020,1,562
218,2019-04-03 00:00:00,2019-04-06 00:00:00,1,1835,13001674,43035,1,1159
219,2019-04-22 00:00:00,2019-04-26 00:00:00,1,2962,13001674,43037,2,1137
220,2019-04-27 00:00:00,2019-05-02 00:00:00,2,166,13001674,43033,3,1182
221,2019-06-21 00:00:00,2019-06-23 00:00:00,1,1854,13001674,43037,2,1137
222,2019-07-09 00:00:00,2019-07-10 00:00:00,3,1204,13001674,43017,2,358
223,2019-09-21 00:00:00,2019-10-01 00:00:00,2,184,13001674,43021,1,435
224,2020-03-24 00:00:00,2020-03-29 00:00:00,2,3011,13001674,43029,2,1094
225,2020-04-08 00:00:00,2020-04-13 00:00:00,1,3001,13001674,43043,1,1159
226,2020-03-06 00:00:00,2020-03-08 00:00:00,1,584,13001674,43036,2,744
227,2020-01-07 00:00:00,2020-01-10 00:00:00,1,561,13001674,42828,3,906.18
228,2020-01-30 00:00:00,2020-02-04 00:00:00,2,208,13001674,42845,2,823.24
229,2020-02-18 00:00:00,2020-02-21 00:00:00,1,1879,13001674,42846,1,2846.58
230,2020-02-29 00:00:00,2020-03-02 00:00:00,1,720,13001674,42848,1,1588
231,2020-04-29 00:00:00,2020-05-01 00:00:00,2,1549,13001674,42827,1,512.38
232,2020-04-21 00:00:00,2020-04-28 00:00:00,2,3368,13001674,42950,2,2603
233,2020-03-07 00:00:00,2020-03-08 00:00:00,2,1549,13001674,42995,1,364
234,2020-05-29 00:00:00,2020-06-07 00:00:00,2,3250,13001674,42904,1,135
235,2016-03-28 00:00:00,2016-03-31 00:00:00,1,1722,13001516,42837,3,430.32
236,2017-10-23 00:00:00,2017-10-24 00:00:00,2,2876,13001516,42834,2,818.84
237,2018-10-04 00:00:00,2018-10-12 00:00:00,2,1458,13001516,42852,1,152
239,2017-07-10 00:00:00,2017-07-18 00:00:00,2,201,13001516,42940,2,2162
240,2018-03-12 00:00:00,2018-03-20 00:00:00,3,884,13001516,42946,3,2173
241,2018-04-03 00:00:00,2018-04-06 00:00:00,2,1006,13001516,42905,3,456
242,2018-06-14 00:00:00,2018-06-22 00:00:00,3,1132,13001516,42916,2,1356
243,2015-02-17 00:00:00,2015-02-18 00:00:00,1,2866,13001516,42969,2,3839
244,2016-03-30 00:00:00,2016-04-02 00:00:00,1,1856,13001516,42960,2,4125
245,2017-05-16 00:00:00,2017-05-24 00:00:00,2,460,13001516,42987,2,456
246,2017-06-03 00:00:00,2017-06-11 00:00:00,1,519,13001516,43010,2,387
247,2017-09-16 00:00:00,2017-09-17 00:00:00,3,3367,13001516,42953,1,3620
248,2016-06-08 00:00:00,2016-06-11 00:00:00,3,37,13001516,43041,2,779
249,2015-11-19 00:00:00,2015-11-27 00:00:00,2,723,13001516,42790,2,762.96
250,2016-08-01 00:00:00,2016-08-04 00:00:00,2,1019,13001516,42796,1,457.82
251,2017-06-21 00:00:00,2017-06-27 00:00:00,3,385,13001516,42789,2,218.02
252,2019-03-08 00:00:00,2019-03-16 00:00:00,3,1286,13001516,42787,2,1366.42
253,2019-06-04 00:00:00,2019-06-07 00:00:00,3,1117,13001516,42763,2,2118.38
254,2015-07-10 00:00:00,2015-07-18 00:00:00,3,337,13001516,42880,1,560
255,2016-05-27 00:00:00,2016-06-05 00:00:00,2,2716,13001516,42876,1,560
256,2016-10-05 00:00:00,2016-10-13 00:00:00,3,1539,13001516,42832,1,818.84
257,2017-01-18 00:00:00,2017-01-21 00:00:00,3,1408,13001516,42865,1,199
258,2017-10-19 00:00:00,2017-10-28 00:00:00,2,896,13001516,42828,2,906.18
259,2019-05-07 00:00:00,2019-05-16 00:00:00,1,2939,13001516,42861,1,542
260,2019-08-19 00:00:00,2019-08-22 00:00:00,2,1270,13001516,42859,1,610
261,2020-03-31 00:00:00,2020-04-03 00:00:00,2,1854,13001516,42877,1,560
262,2015-07-07 00:00:00,2015-07-13 00:00:00,2,1064,13001516,42945,1,3210
263,2015-12-29 00:00:00,2016-01-06 00:00:00,1,739,13001516,42891,3,515
264,2017-06-22 00:00:00,2017-06-28 00:00:00,1,305,13001516,42910,2,1502
265,2016-01-28 00:00:00,2016-01-31 00:00:00,2,572,13001516,42970,2,3001
266,2018-02-28 00:00:00,2018-03-08 00:00:00,2,723,13001516,42975,1,215
267,2018-05-07 00:00:00,2018-05-10 00:00:00,3,539,13001516,42993,2,507
268,2018-05-14 00:00:00,2018-05-22 00:00:00,2,983,13001516,42996,1,518
269,2019-02-01 00:00:00,2019-02-09 00:00:00,3,1788,13001516,43010,3,387
270,2019-12-14 00:00:00,2019-12-20 00:00:00,3,928,13001516,43010,2,387
271,2016-09-03 00:00:00,2016-09-09 00:00:00,1,364,13001516,43033,2,1182
272,2017-03-28 00:00:00,2017-04-06 00:00:00,1,1117,13001516,43026,2,530
273,2018-12-25 00:00:00,2018-12-31 00:00:00,2,3156,13001516,43017,1,358
274,2015-01-08 00:00:00,2015-01-16 00:00:00,3,3013,13001516,42758,3,1819.18
275,2015-02-14 00:00:00,2015-02-18 00:00:00,3,356,13001516,42780,2,4028.86
276,2015-04-23 00:00:00,2015-04-28 00:00:00,1,1228,13001516,42777,3,2557.5
277,2015-07-22 00:00:00,2015-07-27 00:00:00,3,1195,13001516,42763,2,2118.38
278,2015-08-24 00:00:00,2015-08-25 00:00:00,3,1149,13001516,42812,2,376.64
280,2015-09-14 00:00:00,2015-09-19 00:00:00,3,75,13001516,42756,1,638.66
281,2015-10-16 00:00:00,2015-10-23 00:00:00,2,393,13001516,42764,2,1385.78
282,2015-10-15 00:00:00,2015-10-22 00:00:00,3,3360,13001516,42814,1,369.82
283,2015-12-18 00:00:00,2015-12-21 00:00:00,3,1746,13001516,42765,2,1938.42
284,2015-12-31 00:00:00,2016-01-04 00:00:00,3,1133,13001516,42737,2,1658
285,2016-01-11 00:00:00,2016-01-14 00:00:00,2,2896,13001516,42776,2,1423.4
286,2016-07-27 00:00:00,2016-08-01 00:00:00,1,2711,13001516,42799,3,1536.04
287,2016-09-13 00:00:00,2016-09-18 00:00:00,2,3250,13001516,42763,2,2118.38
288,2016-10-15 00:00:00,2016-10-19 00:00:00,3,421,13001516,42766,1,7011.62
289,2016-11-08 00:00:00,2016-11-13 00:00:00,3,46,13001516,42816,1,1254.88
290,2017-03-15 00:00:00,2017-03-19 00:00:00,2,840,13001516,42771,3,2554.2
291,2017-04-14 00:00:00,2017-04-18 00:00:00,1,3008,13001516,42812,2,376.64
292,2017-05-26 00:00:00,2017-05-31 00:00:00,1,480,13001516,42795,1,543.18
293,2017-09-12 00:00:00,2017-09-13 00:00:00,3,484,13001516,42795,1,543.18
294,2017-10-07 00:00:00,2017-10-12 00:00:00,2,1103,13001516,42782,3,3373.92
295,2017-11-13 00:00:00,2017-11-14 00:00:00,2,639,13001516,42737,2,1658
296,2017-12-22 00:00:00,2017-12-27 00:00:00,1,1293,13001516,42783,3,2452.34
297,2018-02-09 00:00:00,2018-02-10 00:00:00,2,893,13001516,42772,2,6569.86
298,2018-05-23 00:00:00,2018-05-28 00:00:00,1,1559,13001516,42787,2,1366.42
299,2018-08-04 00:00:00,2018-08-08 00:00:00,2,771,13001516,42800,2,1642.74
300,2018-08-22 00:00:00,2018-09-01 00:00:00,2,1185,13001516,42779,3,9555.04
301,2018-09-06 00:00:00,2018-09-10 00:00:00,3,1167,13001516,42764,2,1385.78
302,2018-10-01 00:00:00,2018-10-05 00:00:00,1,932,13001516,42796,3,457.82
303,2018-11-02 00:00:00,2018-11-10 00:00:00,2,879,13001516,42790,3,762.96
304,2018-12-01 00:00:00,2018-12-04 00:00:00,2,891,13001516,42770,2,3597.22
305,2019-02-15 00:00:00,2019-02-16 00:00:00,1,1645,13001516,42777,2,2557.5
306,2019-03-05 00:00:00,2019-03-10 00:00:00,3,773,13001516,42793,3,871.86
307,2019-07-15 00:00:00,2019-07-17 00:00:00,1,292,13001516,42818,3,1907.62
308,2019-07-15 00:00:00,2019-07-18 00:00:00,2,442,13001516,42810,2,1282.82
309,2019-09-02 00:00:00,2019-09-03 00:00:00,2,2946,13001516,42799,2,1536.04
310,2019-11-14 00:00:00,2019-11-22 00:00:00,2,1854,13001516,42788,2,421.96
311,2019-12-13 00:00:00,2019-12-16 00:00:00,2,1865,13001516,42777,2,2557.5
312,2020-01-27 00:00:00,2020-01-28 00:00:00,1,109,13001516,42760,2,1637.24
313,2020-04-13 00:00:00,2020-04-21 00:00:00,2,2809,13001516,42792,3,479.82
314,2020-05-27 00:00:00,2020-06-04 00:00:00,1,721,13001516,42764,3,1385.78
315,2015-02-07 00:00:00,2015-02-12 00:00:00,3,993,13001516,42884,3,498
317,2015-04-20 00:00:00,2015-04-25 00:00:00,1,1170,13001516,42832,2,818.84
318,2015-06-30 00:00:00,2015-07-05 00:00:00,3,1233,13001516,42870,1,178
