IdVenta,Fecha,Fecha_Entrega,IdCanal,IdCliente,IdSucursal,IdEmpleado,IdProducto,Precio,Cantidad,Ventas_totales,,
1,09/03/2018,17/03/2018,3,969,13,1674,42817,813.12,2,1626.24,0,6831
2,28/12/2018,29/12/2018,2,884,13,1674,42795,543.18,3,1629.54,0,
3,28/03/2016,31/03/2016,2,1722,13,1674,42837,430.32,1,430.32,0,
4,23/10/2017,24/10/2017,3,2876,13,1674,42834,818.84,2,1637.68,0,
5,22/11/2017,25/11/2017,2,678,13,1674,42825,554.18,3,1662.54,0,
6,24/01/2018,25/01/2018,2,3263,13,1674,42852,152,1,152,0,
7,25/03/2015,26/03/2015,3,2983,13,1674,42939,2915,1,2915,0,
8,10/07/2017,18/07/2017,2,201,13,1674,42940,2162,2,4324,0,
9,03/04/2018,06/04/2018,2,1006,13,1674,42905,456,3,1368,0,
10,16/03/2019,17/03/2019,1,1003,13,1674,42894,515,2,1030,0,
11,19/01/2015,27/01/2015,3,430,13,1674,42998,529,3,1587,0,
12,17/02/2015,18/02/2015,1,2866,13,1674,42969,3839,2,7678,0,
13,30/03/2016,02/04/2016,3,1856,13,1674,42960,4125,1,4125,1,
14,16/05/2017,24/05/2017,2,460,13,1674,42987,456,2,912,0,
15,03/06/2017,11/06/2017,2,519,13,1674,43010,387,2,774,0,
16,06/06/2017,09/06/2017,2,587,13,1674,43015,483,2,966,0,
17,07/02/2019,08/02/2019,2,1590,13,1674,42976,216,1,216,0,
18,14/02/2019,22/02/2019,2,3029,13,1674,43010,387,3,1161,0,
19,21/09/2019,22/09/2019,3,2854,13,1674,42958,3763,2,7526,0,
21,30/11/2015,03/12/2015,3,353,13,1674,42797,4845.5,2,9691,1,
22,21/06/2017,27/06/2017,3,385,13,1674,42789,218.02,1,218.02,0,
23,04/04/2018,12/04/2018,2,381,13,1674,42766,7011.62,2,14023.24,0,
24,08/03/2019,16/03/2019,2,1286,13,1674,42787,1366.42,2,2732.84,0,
25,04/06/2019,07/06/2019,2,1117,13,1674,42763,2118.38,1,2118.38,0,
26,12/11/2019,21/11/2019,2,273,13,1674,42754,1237.5,3,3712.5,0,
27,27/05/2016,05/06/2016,3,2716,13,1674,42876,560,1,560,1,
28,14/07/2016,17/07/2016,3,926,13,1674,42830,486.42,2,972.84,0,
29,02/05/2017,11/05/2017,2,430,13,1674,42879,560,1,560,0,
30,07/05/2019,16/05/2019,1,2939,13,1674,42861,542,1,542,0,
31,19/08/2019,22/08/2019,3,1270,13,1674,42859,610,1,610,0,
32,07/07/2015,13/07/2015,3,1064,13,1674,42945,3210,2,6420,0,
33,05/08/2016,11/08/2016,3,2630,13,1674,42906,321,2,642,0,
34,16/08/2018,24/08/2018,2,645,13,1674,42893,515,3,1545,0,
35,29/12/2015,06/01/2016,1,895,13,1674,43016,454,3,1362,-11,
36,28/01/2016,31/01/2016,1,572,13,1674,42970,3001,2,6002,0,
37,05/06/2017,11/06/2017,3,649,13,1674,42975,215,2,430,0,
38,03/09/2016,09/09/2016,1,364,13,1674,43033,1182,2,2364,0,
39,24/12/2016,02/01/2017,3,879,13,1674,43022,422,2,844,-11,
40,28/03/2017,06/04/2017,3,1117,13,1674,43026,530,2,1060,1,
41,25/12/2018,31/12/2018,1,3156,13,1674,43017,358,1,358,0,
42,08/01/2015,16/01/2015,1,3013,13,1674,42758,1819.18,3,5457.54,0,
43,16/03/2015,18/03/2015,3,1388,13,1674,42785,1597.42,2,3194.84,0,
44,09/06/2015,14/06/2015,1,1088,13,1674,42800,1642.74,2,3285.48,0,
45,05/10/2015,10/10/2015,1,1654,13,1674,42796,457.82,3,1373.46,0,
46,16/10/2015,23/10/2015,2,393,13,1674,42764,1385.78,1,1385.78,0,
47,15/10/2015,22/10/2015,3,3360,13,1674,42814,369.82,2,739.64,0,
48,18/12/2015,21/12/2015,1,1746,13,1674,42765,1938.42,1,1938.42,0,
49,31/12/2015,04/01/2016,2,1133,13,1674,42737,1658,2,3316,-11,
50,11/01/2016,14/01/2016,1,2896,13,1674,42776,1423.4,1,1423.4,0,
51,18/07/2016,21/07/2016,1,1230,13,1674,42788,42196,2,84392,0,
52,27/07/2016,01/08/2016,3,2711,13,1674,42799,1536.04,2,3072.08,1,
53,12/08/2016,16/08/2016,1,1719,13,1674,42774,6048.9,2,12097.8,0,
54,13/08/2016,20/08/2016,3,782,13,1674,42760,1637.24,2,3274.48,0,
55,13/09/2016,18/09/2016,1,3250,13,1674,42763,2118.38,2,4236.76,0,
56,11/10/2016,16/10/2016,1,2932,13,1674,42764,1385.78,2,2771.56,0,
57,08/11/2016,13/11/2016,2,46,13,1674,42816,1254.88,3,3764.64,0,
58,29/12/2016,01/01/2017,1,78,13,1674,42815,599.5,2,1199,-11,
59,17/02/2017,21/02/2017,1,2858,13,1674,42793,871.86,2,1743.72,0,
60,18/04/2017,28/04/2017,1,3156,13,1674,42810,1282.82,1,1282.82,0,
61,26/05/2017,31/05/2017,2,480,13,1674,42795,543.18,2,1086.36,0,
62,12/09/2017,13/09/2017,1,484,13,1674,42795,543.18,2,1086.36,0,
63,20/09/2017,28/09/2017,2,776,13,1674,42787,1366.42,3,4099.26,0,
64,07/10/2017,12/10/2017,1,1103,13,1674,42782,3373.92,1,3373.92,0,
65,13/11/2017,14/11/2017,1,639,13,1674,42737,1658,2,3316,0,
66,22/12/2017,27/12/2017,2,1293,13,1674,42783,2452.34,2,4904.68,0,
67,09/02/2018,10/02/2018,1,893,13,1674,42772,6569.86,2,13139.72,0,
68,27/03/2018,31/03/2018,3,1814,13,1674,42762,2106.06,2,4212.12,0,
69,19/05/2018,29/05/2018,2,944,13,1674,42789,218.02,1,218.02,0,
70,23/05/2018,28/05/2018,2,1559,13,1674,42787,1366.42,3,4099.26,0,
71,04/08/2018,08/08/2018,2,771,13,1674,42800,1642.74,3,4928.22,0,
73,01/10/2018,05/10/2018,3,932,13,1674,42796,457.82,1,457.82,0,
74,02/11/2018,10/11/2018,1,879,13,1674,42790,762.96,1,762.96,0,
75,22/01/2019,26/01/2019,2,3357,13,1674,42789,218.02,1,218.02,0,
76,15/07/2019,17/07/2019,3,292,13,1674,42818,1907.62,2,3815.24,0,
77,10/09/2019,13/09/2019,1,596,13,1674,42777,2557.5,3,7672.5,0,
